instance,family,method,vehicles,distance,runtime_sec,ontime_p50,ontime_p95
R111,R,CHAMPION(SAA64-b0p7),12.0,1329.0,,100.0,100.0
R111,R,DET,11.0,1073.0,,42.5,47.0
R111,R,Q120,,,,,
R112,R,CHAMPION(Q120),12.0,1069.0,,100.0,100.0
R112,R,DET,10.0,966.0,,41.0,49.0
R112,R,Q120,12.0,1069.0,,100.0,100.0
R201,R,CHAMPION(SAA16-b0p3),8.0,1270.0,,100.0,100.0
R201,R,DET,8.0,1195.0,,25.0,26.0
R201,R,Q120,,,,,
R202,R,CHAMPION(SAA16-b0p3),8.0,1171.0,,100.0,100.0
R202,R,DET,8.0,1073.0,,39.0,42.0
R202,R,Q120,,,,,
R203,R,CHAMPION(SAA16-b0p3),8.0,1024.0,,100.0,100.0
R203,R,DET,8.0,957.0,,54.0,55.0
R203,R,Q120,,,,,
R204,R,CHAMPION(SAA16-b0p3),8.0,930.0,,100.0,100.0
R204,R,DET,8.0,843.0,,84.0,87.04999999999998
R204,R,Q120,,,,,
R205,R,CHAMPION(SAA16-b0p3),8.0,1111.0,,100.0,100.0
R205,R,DET,8.0,1018.0,,31.0,34.04999999999998
R205,R,Q120,,,,,
R206,R,CHAMPION(SAA16-b0p3),8.0,1042.0,,100.0,100.0
R206,R,DET,8.0,962.0,,51.0,54.0
R206,R,Q120,,,,,
R207,R,CHAMPION(SAA16-b0p3),8.0,960.0,,100.0,100.0
R207,R,DET,8.0,904.0,,68.0,72.0
R207,R,Q120,,,,,
R208,R,CHAMPION(SAA16-b0p3),8.0,905.0,,100.0,100.0
R208,R,DET,8.0,846.0,,80.0,84.0
R208,R,Q120,,,,,
R209,R,CHAMPION(SAA16-b0p3),8.0,1037.0,,100.0,100.0
R209,R,DET,8.0,948.0,,41.0,44.0
R209,R,Q120,,,,,
R210,R,CHAMPION(SAA16-b0p3),8.0,1034.0,,100.0,100.0
R210,R,DET,8.0,982.0,,47.0,49.0
R210,R,Q120,,,,,
R211,R,CHAMPION(SAA16-b0p3),8.0,921.0,,100.0,100.0
R211,R,DET,8.0,859.0,,67.0,72.04999999999998
R211,R,Q120,,,,,
RC101,RC,CHAMPION(SAA64-b0p7),17.0,1981.0,,100.0,100.0
RC101,RC,Q120,,,,,
RC102,RC,CHAMPION(SAA64-b0p7),15.0,1753.0,,100.0,100.0
RC102,RC,Q120,,,,,
RC103,RC,CHAMPION(SAA32-b0p5),13.0,1530.0,,100.0,100.0
RC103,RC,DET,12.0,1341.0,,37.0,42.0
RC103,RC,Q120,,,,,
RC104,RC,CHAMPION(SAA64-b0p7),11.0,1392.0,,100.0,100.0
RC104,RC,DET,10.0,1188.0,,45.0,52.0
RC104,RC,Q120,,,,,
RC105,RC,CHAMPION(SAA32-b0p5),16.0,1810.0,,100.0,100.0
RC105,RC,Q120,,,,,
RC106,RC,CHAMPION(SAA32-b0p5),14.0,1663.0,,100.0,100.0
RC106,RC,DET,13.0,1400.0,,29.0,31.0
RC106,RC,Q120,,,,,
RC107,RC,CHAMPION(SAA32-b0p5),12.0,1460.0,,100.0,100.0
RC107,RC,DET,11.0,1254.0,,25.0,28.0
RC107,RC,Q120,,,,,
RC108,RC,CHAMPION(Q120),13.0,1367.0,,100.0,100.0
RC108,RC,DET,11.0,1170.0,,39.0,47.0
RC108,RC,Q120,13.0,1367.0,,100.0,100.0
RC201,RC,CHAMPION(SAA16-b0p3),9.0,1495.0,,100.0,100.0
RC201,RC,DET,9.0,1448.0,,23.0,24.0
RC201,RC,Q120,,,,,
RC202,RC,CHAMPION(SAA16-b0p3),9.0,1341.0,,100.0,100.0
RC202,RC,DET,9.0,1291.0,,42.0,46.0
RC202,RC,Q120,,,,,
RC203,RC,CHAMPION(SAA16-b0p3),9.0,1184.0,,100.0,100.0
RC203,RC,DET,9.0,1123.0,,61.0,64.0
RC203,RC,Q120,,,,,
RC204,RC,CHAMPION(SAA16-b0p3),9.0,1127.0,,100.0,100.0
RC204,RC,DET,9.0,1043.0,,73.0,77.0
RC204,RC,Q120,,,,,
RC205,RC,CHAMPION(SAA16-b0p3),9.0,1463.0,,100.0,100.0
RC205,RC,DET,9.0,1283.0,,28.0,30.0
RC205,RC,Q120,,,,,
RC206,RC,CHAMPION(SAA16-b0p3),9.0,1279.0,,100.0,100.0
RC206,RC,DET,9.0,1240.0,,32.0,34.0
RC206,RC,Q120,,,,,
RC207,RC,CHAMPION(SAA16-b0p3),9.0,1220.0,,100.0,100.0
RC207,RC,DET,9.0,1161.0,,39.0,42.0
RC207,RC,Q120,,,,,
RC208,RC,CHAMPION(SAA16-b0p3),9.0,1080.0,,100.0,100.0
RC208,RC,DET,9.0,1018.0,,74.0,78.0
RC208,RC,Q120,,,,,
