instance,method,family,distance,vehicles,ontime_p50,ontime_p95,ontime_mean,feasible
C105,SAA64-b0p7,C,976.0,10,21.0,21.0,21.0,True
C105,Gamma1,C,1129.172,10,20.0,20.0,20.0,True
C105,Gamma2,C,1129.17,10,20.0,20.0,20.0,True
C106,DET,C,829.0,10,99.05,99.58,97.49,True
C106,Q120,C,,0,,,,
C106,Q1405,C,,0,,,,
C106,SAA16-b0p3,C,888.0,10,23.0,24.0,23.5,True
C106,SAA32-b0p5,C,955.0,10,23.0,24.0,23.5,True
C106,SAA64-b0p7,C,976.0,10,23.0,24.0,23.5,True
C106,Gamma1,C,1231.544,11,22.0,23.0,22.5,True
C106,Gamma2,C,1287.41,12,22.0,23.0,22.5,True
C107,DET,C,829.0,10,99.05,99.58,97.49,True
C107,Q120,C,,0,,,,
C107,Q1405,C,1316.0,20,20.0,20.0,20.0,True
C107,SAA16-b0p3,C,881.0,10,23.0,23.0,23.0,True
C107,SAA32-b0p5,C,951.0,10,23.0,23.0,23.0,True
C107,SAA64-b0p7,C,976.0,10,23.0,23.0,23.0,True
C107,Gamma1,C,1129.172,10,21.0,21.0,21.0,True
C107,Gamma2,C,1157.03,10,21.0,21.0,21.0,True
C108,DET,C,829.0,10,99.05,99.58,97.49,True
C108,Q120,C,,0,,,,
C108,Q1405,C,1129.0,13,25.0,25.0,25.0,True
C108,SAA16-b0p3,C,881.0,10,26.0,27.0,26.5,True
C108,SAA32-b0p5,C,950.0,10,26.0,27.0,26.5,True
C108,SAA64-b0p7,C,968.0,10,26.0,27.0,26.5,True
C108,Gamma1,C,1129.76,10,26.0,27.0,26.5,True
C108,Gamma2,C,1156.98,10,26.0,27.0,26.5,True
C109,DET,C,829.0,10,99.05,99.58,97.49,True
C109,Q120,C,953.0,11,38.0,39.0,38.5,True
C109,Q1405,C,931.0,11,35.0,35.0,35.0,True
C109,SAA16-b0p3,C,903.0,10,33.0,34.0,33.5,True
C109,SAA32-b0p5,C,973.0,10,33.0,34.0,33.5,True
C109,SAA64-b0p7,C,971.0,10,33.0,34.0,33.5,True
C109,Gamma1,C,1172.982,10,31.0,32.0,31.5,True
C109,Gamma2,C,1228.86,10,31.0,32.0,31.5,True
C201,DET,C,958.0,10,99.05,99.58,97.49,True
C201,Q120,C,,0,,,,
C201,Q1405,C,,0,,,,
C201,SAA16-b0p3,C,1025.0,10,29.0,30.0,29.5,True
C201,SAA32-b0p5,C,1092.0,10,29.0,30.0,29.5,True
C201,SAA64-b0p7,C,1100.0,10,29.0,30.0,29.5,True
C201,Gamma1,C,1292.231,10,25.0,25.0,25.0,True
C201,Gamma2,C,1320.17,10,25.0,25.0,25.0,True
C202,DET,C,966.0,10,99.05,99.58,97.49,True
C202,Q120,C,,0,,,,
C202,Q1405,C,,0,,,,
C202,SAA16-b0p3,C,1023.0,10,59.0,59.0,59.0,True
C202,SAA32-b0p5,C,1094.0,10,59.0,59.0,59.0,True
C202,SAA64-b0p7,C,1091.0,10,59.0,59.0,59.0,True
C202,Gamma1,C,1310.039,10,50.0,50.0,50.0,True
C202,Gamma2,C,1287.66,10,50.0,50.0,50.0,True
C203,DET,C,955.0,10,99.05,99.58,97.49,True
C203,Q120,C,,0,,,,
C203,Q1405,C,,0,,,,
C203,SAA16-b0p3,C,1015.0,10,73.0,73.0,73.0,True
C203,SAA32-b0p5,C,1081.0,10,73.0,73.0,73.0,True
C203,SAA64-b0p7,C,1089.0,10,73.0,73.0,73.0,True
C203,Gamma1,C,1282.673,10,69.0,71.0,70.0,True
C203,Gamma2,C,1266.96,10,69.0,71.0,70.0,True
C204,DET,C,952.0,10,99.05,99.58,97.49,True
C204,Q120,C,,0,,,,
C204,Q1405,C,,0,,,,
C204,SAA16-b0p3,C,978.0,10,87.0,88.0,87.5,True
C204,SAA32-b0p5,C,1063.0,10,87.0,88.0,87.5,True
C204,SAA64-b0p7,C,1077.0,10,87.0,88.0,87.5,True
C204,Gamma1,C,1287.27,10,82.0,83.0,82.5,True
C204,Gamma2,C,1287.15,10,82.0,83.0,82.5,True
C205,DET,C,962.0,10,99.05,99.58,97.49,True
C205,Q120,C,,0,,,,
C205,Q1405,C,,0,,,,
C205,SAA16-b0p3,C,1019.0,10,33.0,33.0,33.0,True
C205,SAA32-b0p5,C,1071.0,10,33.0,33.0,33.0,True
C205,SAA64-b0p7,C,1109.0,10,33.0,33.0,33.0,True
C205,Gamma1,C,1289.169,10,26.0,28.0,27.0,True
C205,Gamma2,C,1273.33,10,26.0,28.0,27.0,True
C206,DET,C,947.0,10,99.05,99.58,97.49,True
