instance,family,method,det_distance,distance,delta_dist_pct,det_on_mean,ch_on_mean,delta_on_pp,ch_on_p50,ch_on_p95,vehicles,runtime_s,runtime_flag,meets_A,meets_B,meets_any
RC102,RC,saa16-b0p3,,1667.0,,,,,100.0,100.0,14.0,,False,False,False,False
RC103,RC,saa16-b0p3,1341.0,1379.0,2.8337061894108873,37.3,,,100.0,100.0,12.0,,False,False,False,False
RC104,RC,saa16-b0p3,1188.0,1277.0,7.491582491582491,44.435,,,100.0,100.0,11.0,,False,False,False,False
RC105,RC,saa16-b0p3,,1711.0,,,,,99.0,100.0,15.0,,False,False,False,False
RC106,RC,saa16-b0p3,1400.0,1533.0,9.5,29.1,,,99.5,100.0,14.0,,False,False,False,False
RC107,RC,saa16-b0p3,1254.0,1355.0,8.054226475279107,24.925,,,99.0,100.0,12.0,,False,False,False,False
RC108,RC,q120,1170.0,1367.0,16.837606837606838,38.185,,,100.0,100.0,13.0,,False,False,False,False
RC201,RC,saa16-b0p3,1448.0,1495.0,3.24585635359116,23.39,,,100.0,100.0,9.0,,False,False,False,False
RC202,RC,saa16-b0p3,1291.0,1341.0,3.8729666924864445,42.54,,,100.0,100.0,9.0,,False,False,False,False
RC203,RC,saa16-b0p3,1123.0,1184.0,5.431878895814782,61.105,,,100.0,100.0,9.0,,False,False,False,False
RC204,RC,saa16-b0p3,1043.0,1127.0,8.053691275167786,72.51,,,100.0,100.0,9.0,,False,False,False,False
RC205,RC,saa16-b0p3,1283.0,1463.0,14.029618082618862,28.35,,,100.0,100.0,9.0,,False,False,False,False
RC206,RC,saa16-b0p3,1240.0,1279.0,3.1451612903225805,32.095,,,100.0,100.0,9.0,,False,False,False,False
RC207,RC,saa16-b0p3,1161.0,1220.0,5.0818260120585705,38.98,,,100.0,100.0,9.0,,False,False,False,False
RC208,RC,saa16-b0p3,1018.0,1080.0,6.090373280943026,72.975,,,100.0,100.0,9.0,,False,False,False,False
